Date,Bean_Kandy_price
3/27/2017,135.0
3/28/2017,135.0
3/29/2017,125.0
3/30/2017,105.0
3/31/2017,85.0
4/1/2017,55.0
4/4/2017,75.0
4/5/2017,95.0
4/7/2017,135.0
4/8/2017,105.0
4/9/2017,125.0
4/10/2017,110.0
4/12/2017,155.0
4/17/2017,95.0
4/18/2017,75.0
4/19/2017,75.0
4/20/2017,95.0
4/21/2017,95.0
4/24/2017,85.0
4/25/2017,85.0
4/26/2017,95.0
4/27/2017,95.0
4/28/2017,95.0
5/1/2017,55.0
5/5/2017,105.0
5/6/2017,110.0
5/7/2017,125.0
5/12/2017,185.0
5/15/2017,115.0
5/16/2017,105.0
5/17/2017,115.0
5/18/2017,125.0
5/19/2017,125.0
5/23/2017,135.0
5/24/2017,135.0
5/25/2017,115.0
5/26/2017,125.0
5/29/2017,115.0
5/30/2017,125.0
5/31/2017,105.0
6/1/2017,55.0
6/2/2017,125.0
6/3/2017,105.0
6/4/2017,75.0
6/6/2017,130.0
6/7/2017,110.0
6/9/2017,115.0
6/10/2017,95.0
6/11/2017,85.0
6/12/2017,175.0
6/13/2017,125.0
6/14/2017,105.0
6/15/2017,115.0
6/16/2017,115.0
6/19/2017,115.0
6/20/2017,115.0
6/21/2017,115.0
6/22/2017,115.0
6/23/2017,125.0
6/27/2017,155.0
6/28/2017,125.0
6/29/2017,125.0
6/30/2017,115.0
7/2/2017,145.0
7/3/2017,105.0
7/4/2017,95.0
7/6/2017,120.0
7/7/2017,105.0
7/9/2017,115.0
7/11/2017,85.0
7/12/2017,165.0
7/13/2017,95.0
7/14/2017,95.0
7/17/2017,105.0
7/18/2017,105.0
7/19/2017,95.0
7/20/2017,95.0
7/21/2017,85.0
7/24/2017,105.0
7/25/2017,95.0
7/26/2017,95.0
7/27/2017,105.0
7/28/2017,105.0
7/31/2017,105.0
8/2/2017,145.0
8/3/2017,105.0
8/5/2017,115.0
8/8/2017,155.0
8/9/2017,95.0
8/11/2017,75.0
8/12/2017,155.0
8/14/2017,125.0
8/15/2017,135.0
8/16/2017,135.0
8/17/2017,125.0
8/18/2017,125.0
8/21/2017,115.0
8/22/2017,115.0
8/23/2017,105.0
8/24/2017,115.0
8/25/2017,110.0
8/28/2017,115.0
8/29/2017,105.0
8/30/2017,105.0
9/1/2017,75.0
9/2/2017,155.0
9/3/2017,105.0
9/5/2017,105.0
9/6/2017,155.0
9/8/2017,155.0
9/10/2017,55.0
9/11/2017,75.0
9/13/2017,115.0
9/14/2017,115.0
9/15/2017,115.0
9/18/2017,135.0
9/19/2017,135.0
9/20/2017,155.0
9/21/2017,145.0
9/22/2017,135.0
9/25/2017,155.0
9/26/2017,155.0
9/27/2017,155.0
9/28/2017,115.0
9/29/2017,115.0
10/1/2017,55.0
10/3/2017,105.0
10/7/2017,95.0
10/8/2017,145.0
10/10/2017,55.0
10/11/2017,85.0
10/13/2017,85.0
10/16/2017,110.0
10/17/2017,85.0
10/19/2017,95.0
10/20/2017,95.0
10/23/2017,125.0
10/24/2017,125.0
10/25/2017,125.0
10/26/2017,135.0
10/27/2017,95.0
10/30/2017,110.0
10/31/2017,110.0
11/1/2017,65.0
11/4/2017,150.0
11/7/2017,85.0
11/8/2017,165.0
11/9/2017,95.0
11/10/2017,75.0
11/12/2017,225.0
11/13/2017,135.0
11/14/2017,135.0
11/15/2017,155.0
11/16/2017,145.0
11/17/2017,145.0
11/20/2017,125.0
11/21/2017,85.0
11/22/2017,85.0
11/23/2017,85.0
11/24/2017,75.0
11/27/2017,115.0
11/28/2017,115.0
11/29/2017,125.0
11/30/2017,135.0
12/4/2017,155.0
12/5/2017,125.0
12/6/2017,135.0
12/7/2017,75.0
12/9/2017,105.0
12/10/2017,95.0
12/12/2017,225.0
12/13/2017,190.0
12/14/2017,195.0
12/15/2017,205.0
12/18/2017,155.0
