Date,Kandy,Dambulla
2016-11-24,165.0,155.0
2016-11-25,155.0,170.0
2016-11-28,215.0,205.0
2016-11-29,210.0,200.0
2016-11-30,185.0,195.0
2016-12-01,185.0,175.0
2016-12-02,95.0,90.0
2016-12-05,100.0,115.0
2016-12-08,125.0,125.0
2016-12-10,135.0,120.0
2016-12-14,115.0,120.0
2016-12-15,110.0,115.0
2016-12-16,95.0,110.0
2016-12-19,85.0,55.0
2016-12-20,55.0,62.5
2016-12-21,65.0,57.5
2016-12-22,65.0,60.0
2016-12-23,45.0,70.0
2016-12-26,115.0,100.0
2016-12-27,95.0,97.5
2016-12-28,75.0,80.0
2016-12-29,65.0,52.5
2016-12-30,55.0,65.0
2017-01-02,95.0,75.0
2017-01-03,75.0,80.0
2017-01-08,105.0,110.0
2017-01-11,105.0,80.0
2017-01-13,75.0,65.0
2017-01-16,55.0,67.5
2017-01-17,60.0,65.0
2017-01-18,55.0,55.0
2017-01-19,55.0,45.0
2017-01-20,50.0,55.0
2017-01-23,37.5,35.0
2017-01-24,37.5,35.0
2017-01-25,42.5,27.5
2017-01-26,45.0,52.5
2017-01-27,45.0,45.0
2017-01-30,65.0,55.0
2017-01-31,95.0,80.0
2017-02-01,55.0,65.0
2017-02-02,85.0,90.0
2017-02-03,95.0,75.0
2017-02-05,95.0,110.0
2017-02-06,135.0,130.0
2017-02-08,105.0,105.0
2017-02-10,135.0,150.0
2017-02-11,75.0,67.5
2017-02-13,195.0,175.0
2017-02-14,155.0,155.0
2017-02-15,125.0,110.0
2017-02-16,95.0,92.5
2017-02-17,95.0,92.5
2017-02-20,95.0,92.5
2017-02-21,85.0,82.5
2017-02-22,75.0,77.5
2017-02-23,95.0,85.0
2017-02-27,65.0,90.0
2017-02-28,65.0,82.5
2017-03-01,45.0,62.5
2017-03-02,95.0,85.0
2017-03-03,65.0,85.0
2017-03-04,85.0,85.0
2017-03-05,85.0,95.0
2017-03-07,135.0,145.0
2017-03-08,105.0,95.0
2017-03-10,125.0,145.0
2017-03-13,115.0,100.0
2017-03-14,95.0,95.0
2017-03-15,95.0,110.0
2017-03-16,95.0,85.0
2017-03-17,100.0,100.0
2017-03-20,125.0,145.0
2017-03-21,145.0,145.0
2017-03-22,125.0,145.0
2017-03-23,125.0,135.0
2017-03-24,125.0,125.0
2017-03-27,135.0,140.0
2017-03-28,135.0,130.0
2017-03-29,125.0,90.0
2017-03-30,105.0,95.0
2017-03-31,85.0,65.0
2017-04-01,55.0,52.5
2017-04-04,75.0,85.0
2017-04-05,95.0,95.0
2017-04-07,135.0,140.0
2017-04-08,105.0,112.5
2017-04-09,125.0,85.0
2017-04-10,110.0,90.0
2017-04-12,155.0,150.0
2017-04-17,95.0,65.0
2017-04-18,75.0,77.5
2017-04-19,75.0,105.0
2017-04-20,95.0,130.0
2017-04-21,95.0,115.0
2017-04-24,85.0,100.0
2017-04-25,85.0,100.0
2017-04-26,95.0,85.0
2017-04-27,95.0,115.0
2017-04-28,95.0,110.0
2017-05-01,55.0,55.0
2017-05-05,105.0,100.0
2017-05-06,110.0,135.0
2017-05-07,125.0,100.0
2017-05-12,185.0,155.0
2017-05-15,115.0,125.0
2017-05-16,105.0,130.0
2017-05-17,115.0,135.0
2017-05-18,125.0,135.0
2017-05-19,125.0,135.0
2017-05-23,135.0,140.0
2017-05-24,135.0,145.0
2017-05-25,115.0,120.0
2017-05-26,125.0,120.0
2017-05-29,115.0,130.0
2017-05-30,125.0,130.0
2017-05-31,105.0,135.0
2017-06-01,55.0,65.0
2017-06-02,125.0,140.0
2017-06-03,105.0,122.5
2017-06-04,75.0,72.5
2017-06-06,130.0,135.0
2017-06-07,110.0,85.0
2017-06-09,115.0,85.0
2017-06-10,95.0,80.0
2017-06-11,85.0,85.0
2017-06-12,175.0,165.0
2017-06-13,125.0,145.0
2017-06-14,105.0,130.0
2017-06-15,115.0,105.0
2017-06-16,115.0,95.0
2017-06-19,115.0,85.0
2017-06-20,115.0,125.0
2017-06-21,115.0,95.0
2017-06-22,115.0,85.0
2017-06-23,115.0,85.0
2017-06-27,115.0,85.0
2017-06-28,125.0,125.0
2017-06-29,125.0,110.0
2017-06-30,115.0,125.0
2017-07-02,145.0,160.0
2017-07-03,105.0,122.5
2017-07-04,95.0,92.5
2017-07-06,120.0,90.0
2017-07-07,105.0,95.0
2017-07-09,115.0,105.0
2017-07-11,85.0,75.0
2017-07-12,165.0,185.0
2017-07-13,95.0,67.5
2017-07-14,95.0,90.0
2017-07-17,105.0,100.0
2017-07-18,105.0,105.0
2017-07-19,95.0,105.0
2017-07-20,95.0,95.0
2017-07-21,85.0,80.0
2017-07-24,105.0,95.0
2017-07-25,95.0,110.0
2017-07-26,95.0,107.5
2017-07-27,105.0,92.5
2017-07-28,105.0,105.0
2017-07-31,105.0,100.0
2017-08-02,145.0,165.0
2017-08-03,105.0,125.0
2017-08-05,115.0,100.0
2017-08-08,155.0,130.0
2017-08-09,95.0,90.0
2017-08-11,75.0,100.0
2017-08-12,155.0,185.0
2017-08-14,125.0,160.0
2017-08-15,135.0,135.0
2017-08-16,135.0,115.0
2017-08-17,125.0,110.0
2017-08-18,125.0,115.0
2017-08-21,115.0,100.0
2017-08-22,115.0,110.0
2017-08-23,105.0,110.0
2017-08-24,115.0,112.5
2017-08-25,110.0,100.0
2017-08-28,115.0,110.0
2017-08-29,105.0,125.0
2017-08-30,105.0,105.0
2017-09-01,75.0,77.5
2017-09-02,155.0,165.0
2017-09-03,105.0,120.0
2017-09-05,105.0,110.0
2017-09-06,155.0,110.0
2017-09-08,155.0,135.0
2017-09-10,55.0,72.5
2017-09-11,75.0,90.0
2017-09-13,115.0,110.0
2017-09-14,115.0,135.0
2017-09-15,115.0,120.0
2017-09-18,135.0,160.0
2017-09-19,135.0,155.0
2017-09-20,155.0,145.0
2017-09-21,145.0,155.0
2017-09-22,135.0,135.0
2017-09-25,155.0,165.0
2017-09-26,155.0,160.0
2017-09-27,155.0,155.0
2017-09-28,115.0,155.0
2017-09-29,115.0,155.0
2017-10-01,55.0,77.5
2017-10-03,105.0,100.0
2017-10-07,95.0,75.0
2017-10-08,145.0,120.0
2017-10-10,55.0,65.0
2017-10-11,85.0,80.0
2017-10-13,85.0,90.0
2017-10-16,110.0,85.0
2017-10-17,85.0,75.0
2017-10-19,95.0,100.0
2017-10-20,95.0,110.0
2017-10-23,125.0,122.5
2017-10-24,125.0,125.0
2017-10-25,125.0,120.0
2017-10-26,135.0,105.0
2017-10-27,95.0,105.0
2017-10-30,110.0,90.0
2017-10-31,110.0,92.5
2017-11-01,65.0,65.0
2017-11-04,150.0,175.0
2017-11-07,85.0,77.5
2017-11-08,165.0,145.0
2017-11-09,95.0,110.0
2017-11-10,75.0,80.0
2017-11-12,225.0,260.0
2017-11-13,135.0,145.0
2017-11-14,135.0,155.0
2017-11-15,155.0,125.0
2017-11-16,145.0,145.0
2017-11-17,145.0,155.0
2017-11-20,125.0,100.0
2017-11-21,85.0,75.0
2017-11-22,85.0,77.5
2017-11-23,85.0,75.0
2017-11-24,75.0,85.0
2017-11-27,115.0,92.5
2017-11-28,115.0,95.0
2017-11-29,125.0,110.0
2017-11-30,135.0,110.0
2017-12-04,155.0,205.0
2017-12-05,125.0,120.0
2017-12-06,135.0,120.0
2017-12-07,75.0,77.5
2017-12-09,105.0,110.0
2017-12-10,95.0,80.0
2017-12-12,225.0,220.0
2017-12-13,190.0,195.0
2017-12-14,195.0,220.0
2017-12-15,205.0,185.0
2017-12-18,155.0,190.0
2017-12-19,165.0,170.0
2017-12-20,165.0,160.0
2017-12-21,175.0,130.0
2017-12-22,175.0,175.0
2017-12-26,245.0,215.0
2017-12-27,225.0,210.0
2017-12-28,205.0,190.0
2017-12-29,195.0,170.0
2018-01-02,145.0,110.0
2018-01-05,125.0,160.0
2018-01-05,125.0,160.0
2018-01-08,145.0,170.0
2018-01-10,75.0,75.0
2018-01-11,195.0,200.0
2018-01-15,190.0,120.0
2018-01-16,145.0,135.0
2018-01-17,135.0,110.0
2018-01-18,135.0,130.0
2018-01-19,145.0,145.0
2018-01-22,175.0,125.0
2018-01-23,135.0,120.0
2018-01-24,110.0,120.0
2018-01-25,110.0,120.0
2018-01-26,145.0,115.0
2018-01-29,165.0,145.0
2018-01-30,155.0,140.0
2018-02-01,255.0,230.0
2018-02-02,105.0,110.0
2018-02-03,65.0,85.0
2018-02-04,45.0,42.5
2018-02-05,110.0,125.0
2018-02-05,110.0,125.0
2018-02-07,230.0,190.0
2018-02-08,145.0,145.0
2018-02-10,75.0,70.0
2018-02-11,170.0,190.0
2018-02-14,125.0,100.0
2018-02-15,125.0,130.0
2018-02-16,165.0,135.0
2018-02-19,125.0,155.0
2018-02-20,125.0,135.0
2018-02-21,125.0,145.0
2018-02-22,145.0,145.0
2018-02-23,155.0,135.0
2018-02-26,125.0,150.0
2018-02-27,85.0,75.0
2018-02-28,75.0,60.0
2018-03-01,195.0,160.0
2018-03-04,45.0,30.0
2018-03-05,95.0,100.0
2018-03-05,95.0,100.0
2018-03-07,210.0,200.0
2018-03-08,135.0,170.0
2018-03-09,95.0,85.0
2018-03-10,72.5,70.0
2018-03-12,85.0,90.0
2018-03-13,95.0,75.0
2018-03-14,85.0,85.0
2018-03-15,75.0,75.0
2018-03-16,105.0,82.5
2018-03-19,105.0,85.0
2018-03-20,95.0,85.0
2018-03-21,85.0,75.0
2018-03-22,75.0,72.5
2018-03-23,85.0,90.0
2018-03-26,85.0,82.5
2018-03-27,75.0,82.5
2018-03-28,65.0,40.0
2018-04-01,175.0,135.0
2018-04-04,40.0,42.5
2018-04-05,110.0,120.0
2018-04-05,110.0,120.0
2018-04-07,210.0,195.0
2018-04-09,95.0,85.0
2018-04-10,85.0,75.0
2018-04-12,95.0,90.0
2018-04-17,65.0,52.5
2018-04-18,45.0,32.5
2018-04-19,35.0,50.0
2018-04-20,45.0,70.0
2018-04-23,95.0,140.0
2018-04-24,115.0,140.0
2018-04-25,95.0,120.0
2018-04-26,105.0,120.0
2018-04-27,105.0,67.0
2018-05-01,165.0,135.0
2018-05-02,145.0,130.0
2018-05-03,95.0,70.0
2018-05-04,37.5,45.0
2018-05-06,275.0,240.0
2018-05-07,190.0,195.0
2018-05-09,75.0,82.5
2018-05-10,75.0,75.0
2018-05-11,190.0,190.0
2018-05-12,110.0,110.0
2018-05-14,115.0,120.0
2018-05-14,115.0,120.0
2018-05-15,105.0,125.0
2018-05-15,105.0,125.0
2018-05-16,125.0,125.0
2018-05-16,125.0,125.0
2018-05-17,125.0,110.0
2018-05-17,125.0,110.0
2018-05-21,125.0,147.5
2018-05-21,125.0,147.5
2018-05-22,175.0,200.0
2018-05-22,175.0,200.0
2018-05-23,175.0,145.0
2018-05-23,175.0,145.0
2018-05-24,165.0,185.0
2018-05-24,165.0,185.0
2018-05-25,165.0,190.0
2018-05-25,165.0,190.0
2018-05-28,195.0,245.0
2018-05-28,195.0,245.0
2018-05-30,235.0,270.0
2018-05-30,235.0,270.0
2018-05-31,260.0,270.0
2018-05-31,260.0,270.0
2018-06-03,75.0,60.0
2018-06-04,45.0,42.5
2018-06-06,195.0,180.0
2018-06-07,210.0,195.0
2018-06-08,145.0,120.0
2018-06-09,75.0,75.0
2018-06-12,110.0,95.0
2018-06-13,195.0,205.0
2018-06-14,195.0,220.0
2018-06-18,190.0,200.0
2018-06-19,225.0,205.0
2018-06-20,210.0,205.0
2018-06-21,210.0,225.0
2018-06-22,255.0,235.0
2018-06-25,205.0,250.0
2018-06-26,225.0,160.0
2018-06-28,235.0,160.0
2018-06-29,190.0,155.0
2018-07-02,105.0,110.0
2018-07-03,95.0,75.0
2018-07-06,195.0,180.0
2018-07-08,155.0,140.0
2018-07-09,75.0,75.0
2018-07-11,235.0,215.0
2018-07-12,115.0,110.0
2018-07-13,170.0,190.0
2018-07-16,245.0,245.0
2018-07-17,245.0,255.0
2018-07-18,225.0,235.0
2018-07-19,225.0,215.0
2018-07-20,210.0,230.0
2018-07-23,225.0,230.0
2018-07-24,195.0,195.0
2018-07-25,175.0,180.0
2018-07-26,135.0,150.0
2018-07-30,145.0,130.0
2018-07-31,155.0,140.0
2018-08-01,225.0,190.0
2018-08-02,115.0,110.0
2018-08-03,115.0,80.0
2018-08-05,110.0,115.0
2018-08-05,110.0,115.0
2018-08-06,195.0,180.0
2018-08-08,115.0,125.0
2018-08-10,115.0,127.5
2018-08-11,190.0,185.0
2018-08-13,165.0,140.0
2018-08-14,175.0,145.0
2018-08-15,175.0,135.0
2018-08-16,165.0,135.0
2018-08-17,155.0,145.0
2018-08-20,145.0,145.0
2018-08-21,175.0,200.0
2018-08-28,125.0,62.5
2018-09-01,215.0,210.0
2018-09-02,125.0,150.0
2018-09-03,125.0,75.0
2018-09-04,45.0,42.5
2018-09-05,95.0,100.0
2018-09-05,95.0,100.0
2018-09-07,225.0,240.0
2018-09-08,115.0,160.0
2018-09-10,115.0,105.0
2018-09-11,190.0,150.0
2018-09-13,95.0,65.0
2018-09-14,75.0,75.0
2018-09-17,75.0,67.5
2018-09-18,75.0,75.0
2018-09-19,85.0,67.5
2018-09-20,75.0,75.0
2018-09-21,75.0,70.0
2018-09-25,75.0,72.5
2018-09-26,65.0,72.5
2018-09-27,65.0,65.0
2018-09-28,75.0,67.5
2018-10-01,230.0,190.0
2018-10-04,45.0,50.0
2018-10-05,95.0,97.5
2018-10-05,95.0,97.5
2018-10-07,190.0,200.0
2018-10-08,125.0,155.0
2018-10-09,95.0,100.0
2018-10-10,115.0,100.0
2018-10-12,175.0,155.0
2018-10-15,190.0,180.0
2018-10-16,175.0,185.0
2018-10-17,175.0,185.0
2018-10-18,175.0,185.0
2018-10-19,175.0,175.0
2018-10-22,175.0,180.0
2018-10-23,185.0,170.0
2018-10-25,175.0,185.0
2018-10-26,175.0,160.0
2018-10-29,185.0,175.0
2018-10-30,170.0,175.0
2018-10-31,170.0,190.0
2018-11-01,190.0,190.0
2018-11-04,55.0,70.0
2018-11-05,85.0,110.0
2018-11-05,85.0,110.0
2018-11-06,190.0,145.0
2018-11-07,210.0,170.0
2018-11-09,95.0,90.0
2018-11-10,125.0,100.0
2018-11-12,165.0,160.0
2018-11-13,210.0,175.0
2018-11-14,245.0,230.0
2018-11-15,275.0,250.0
2018-11-16,240.0,235.0
2018-11-19,160.0,190.0
2018-11-21,135.0,110.0
2018-11-23,145.0,115.0
2018-11-26,145.0,145.0
2018-11-27,135.0,140.0
2018-11-28,110.0,75.0
2018-11-29,90.0,77.5
