Date,price
7/6/2017,130
7/7/2017,100
7/9/2017,70
7/11/2017,60
7/12/2017,180
7/13/2017,90
7/14/2017,100
7/17/2017,100
7/18/2017,100
7/19/2017,90
7/20/2017,90
7/21/2017,80
7/24/2017,100
7/25/2017,80
7/26/2017,80
7/27/2017,80
7/28/2017,80
7/31/2017,80
8/2/2017,140
8/3/2017,120
8/5/2017,120
8/8/2017,100
8/9/2017,80
8/11/2017,60
8/12/2017,200
8/14/2017,140
8/15/2017,120
8/16/2017,100
8/17/2017,100
8/18/2017,100
8/21/2017,80
8/22/2017,80
8/23/2017,90
8/24/2017,90
8/25/2017,80
8/28/2017,100
8/29/2017,90
8/30/2017,80
9/1/2017,60
9/2/2017,140
9/3/2017,120
9/5/2017,100
9/6/2017,120
9/8/2017,100
9/10/2017,90
9/11/2017,100
9/13/2017,100
9/14/2017,90
9/15/2017,100
9/18/2017,140
9/19/2017,100
9/20/2017,110
9/21/2017,120
9/22/2017,120
9/25/2017,150
9/26/2017,160
9/27/2017,130
9/28/2017,120
9/29/2017,110
10/1/2017,60
10/3/2017,100
10/7/2017,80
10/8/2017,100
10/10/2017,80
10/11/2017,100
10/13/2017,100
10/16/2017,100
10/17/2017,100
10/19/2017,100
10/20/2017,100
10/23/2017,120
10/24/2017,130
10/25/2017,120
10/26/2017,120
10/27/2017,120
10/30/2017,100
10/31/2017,110
11/1/2017,60
11/4/2017,150
11/7/2017,60
11/8/2017,140
11/9/2017,100
11/10/2017,90
11/12/2017,250
11/13/2017,130
11/14/2017,150
11/15/2017,140
11/16/2017,160
11/17/2017,150
11/20/2017,140
11/21/2017,120
11/22/2017,120
11/23/2017,90
11/24/2017,90
11/27/2017,100
11/28/2017,120
11/29/2017,90
11/30/2017,90
12/4/2017,160
12/5/2017,100
12/6/2017,100
12/7/2017,60
12/9/2017,115
12/10/2017,100
12/12/2017,250
12/13/2017,250
12/14/2017,230
12/15/2017,200
12/18/2017,180
12/19/2017,180
12/20/2017,160
12/21/2017,160
12/22/2017,150
12/26/2017,250
12/27/2017,200
12/28/2017,200
12/29/2017,200
1/2/2018,100
1/5/2018,130
1/5/2018,130
1/8/2018,130
1/10/2018,90
1/11/2018,200
1/15/2018,130
1/16/2018,120
1/17/2018,90
1/18/2018,100
1/19/2018,110
1/22/2018,130
1/23/2018,100
1/24/2018,100
1/25/2018,100
1/26/2018,100
1/29/2018,140
1/30/2018,120
2/1/2018,220
2/2/2018,80
2/3/2018,60
2/4/2018,30
2/5/2018,100
2/5/2018,100
2/7/2018,180
2/8/2018,120
2/10/2018,90
2/11/2018,200
2/14/2018,160
2/15/2018,130
2/16/2018,130
2/19/2018,140
2/20/2018,100
2/21/2018,130
2/22/2018,150
2/23/2018,140
2/26/2018,120
2/27/2018,70
2/28/2018,60
3/1/2018,160
3/4/2018,20
3/5/2018,100
3/5/2018,100
3/7/2018,220
3/8/2018,120
3/9/2018,70
3/10/2018,70
3/12/2018,100
3/13/2018,120
3/14/2018,60
3/15/2018,70
3/16/2018,80
3/19/2018,80
3/20/2018,80
3/21/2018,80
3/22/2018,80
3/23/2018,70
3/26/2018,80
3/27/2018,80
3/28/2018,60
4/1/2018,140
4/4/2018,30
4/5/2018,130
4/5/2018,130
4/7/2018,220
4/9/2018,70
4/10/2018,80
4/12/2018,100
4/18/2018,40
4/19/2018,70
4/20/2018,70
4/23/2018,100
4/24/2018,130
4/25/2018,120
4/26/2018,130
4/27/2018,120
5/1/2018,160
5/2/2018,100
5/3/2018,80
5/4/2018,40
5/6/2018,200
5/7/2018,200
5/9/2018,60
5/10/2018,80
5/11/2018,200
5/12/2018,100
5/14/2018,110
5/14/2018,110
5/15/2018,120
5/15/2018,120
5/16/2018,120
5/16/2018,120
5/17/2018,100
5/17/2018,100
5/21/2018,150
5/21/2018,150
5/22/2018,200
5/22/2018,200
5/23/2018,140
5/23/2018,140
5/24/2018,140
5/24/2018,140
5/25/2018,170
5/25/2018,170
5/28/2018,200
5/28/2018,200
5/30/2018,200
5/30/2018,200
5/31/2018,200
5/31/2018,200
6/3/2018,70
6/4/2018,40
6/6/2018,170
6/7/2018,220
6/8/2018,120
6/9/2018,50
6/12/2018,120
6/13/2018,180
6/14/2018,180
6/18/2018,180
6/19/2018,200
6/20/2018,220
6/21/2018,200
6/22/2018,250
6/25/2018,250
6/26/2018,200
6/28/2018,200
6/29/2018,180
7/2/2018,100
7/3/2018,80
7/6/2018,180
7/8/2018,120
7/9/2018,50
7/11/2018,200
7/12/2018,120
7/13/2018,200
7/16/2018,230
7/17/2018,260
7/18/2018,180
7/19/2018,200
7/20/2018,250
7/23/2018,200
7/24/2018,240
7/25/2018,200
7/26/2018,150
7/30/2018,170
7/31/2018,170
8/1/2018,200
8/2/2018,100
8/3/2018,70
8/5/2018,80
8/5/2018,80
8/6/2018,180
8/8/2018,130
8/10/2018,130
8/11/2018,200
8/13/2018,140
8/14/2018,130
8/15/2018,120
8/16/2018,100
8/17/2018,100
