Bean_Kandy_price,Kandy,Dambulla,Exchange Rate
115.0,155.0,135.0,194.0
125.0,125.0,135.0,193.96
215.0,95.0,135.0,193.74
145.0,85.0,80.0,194.36
170.0,155.0,170.0,194.5
230.0,230.0,200.0,194.62
155.0,125.0,130.0,193.97
135.0,145.0,135.0,193.97
135.0,125.0,135.0,194.96
135.0,135.0,120.0,194.85
135.0,135.0,130.0,194.85
135.0,125.0,115.0,194.83
125.0,105.0,115.0,194.21
110.0,115.0,115.0,194.06
115.0,135.0,125.0,194.01
115.0,135.0,155.0,194.5
125.0,175.0,140.0,195.63
110.0,135.0,132.0,195.36
215.0,105.0,120.0,195.5
175.0,155.0,155.0,196.26
255.0,225.0,235.0,196.53
190.0,135.0,160.0,196.04
175.0,135.0,135.0,196.78
190.0,125.0,130.0,198.49
175.0,125.0,140.0,197.45
175.0,125.0,125.0,199.28
175.0,135.0,125.0,197.47
155.0,125.0,130.0,197.77
165.0,125.0,120.0,198.95
155.0,115.0,115.0,198.0
155.0,125.0,125.0,198.44
175.0,125.0,125.0,198.17
175.0,125.0,115.0,199.44
155.0,125.0,115.0,199.04
95.0,110.0,100.0,199.22
125.0,175.0,155.0,199.3
95.0,125.0,139.0,199.38
225.0,95.0,115.0,200.02
210.0,95.0,90.0,199.89
65.0,135.0,145.0,194.45
55.0,125.0,115.0,191.97
65.0,135.0,115.0,191.88
85.0,145.0,130.0,192.0
115.0,135.0,135.0,191.94
95.0,135.0,110.0,197.5
115.0,135.0,103.75,197.5
95.0,135.0,97.5,199.75
125.0,125.0,91.25,199.54
85.0,105.0,85.0,199.44
125.0,135.0,150.0,199.33
135.0,165.0,160.0,199.23
165.0,135.0,100.0,199.69
85.0,110.0,120.0,199.59
145.0,110.0,135.0,199.52
190.0,105.0,85.0,199.51
210.0,85.0,85.0,199.51
210.0,195.0,165.0,199.58
135.0,125.0,125.0,199.5
125.0,125.0,140.0,199.5
125.0,125.0,150.0,199.79
125.0,125.0,152.5,199.67
210.0,135.0,150.0,199.66
210.0,145.0,160.0,199.9
85.0,105.0,95.0,199.5
105.0,125.0,85.0,199.69
85.0,105.0,110.0,199.69
125.0,115.0,97.5,199.69
210.0,115.0,100.0,199.7
130.0,90.0,80.0,199.82
210.0,85.0,85.0,199.68
290.0,260.0,240.0,199.8
190.0,135.0,125.0,199.83
275.0,145.0,135.0,199.87
260.0,145.0,145.0,199.91
230.0,145.0,152.5,199.89
185.0,165.0,145.0,199.87
165.0,135.0,137.5,199.89
165.0,135.0,135.0,199.9
145.0,125.0,130.0,201.14
85.0,95.0,97.5,200.78
95.0,125.0,95.0,200.11
75.0,95.0,110.0,199.91
125.0,110.0,110.0,199.9
225.0,85.0,95.0,199.9
290.0,275.0,270.0,199.91
205.0,110.0,105.0,199.9
205.0,110.0,100.0,199.9
200.0,95.0,95.0,199.9
200.0,105.0,100.0,199.9
210.0,95.0,95.0,199.89
235.0,105.0,100.0,199.9
265.0,105.0,100.0,199.9
245.0,125.0,115.0,199.93
215.0,115.0,130.0,199.91
235.0,135.0,135.0,199.9
225.0,125.0,140.0,199.9
210.0,105.0,120.0,199.9
115.0,125.0,100.0,199.9
145.0,165.0,150.0,199.9
135.0,125.0,125.0,199.9
85.0,125.0,105.0,199.9
130.0,135.0,135.0,199.9
135.0,110.0,100.0,199.9
245.0,95.0,105.0,199.9
230.0,185.0,185.0,199.92
290.0,280.0,265.0,199.92
210.0,95.0,110.0,199.92
195.0,95.0,95.0,199.98
220.0,85.0,75.0,199.92
185.0,85.0,95.0,199.9
190.0,85.0,105.0,199.9
190.0,85.0,85.0,199.9
155.0,90.0,110.0,199.9
170.0,110.0,100.0,199.9
145.0,135.0,125.0,210.0
125.0,135.0,100.0,207.35
85.0,125.0,115.0,207.35
165.0,155.0,145.0,207.35
135.0,105.0,120.0,207.35
190.0,105.0,110.0,199.95
145.0,95.0,80.0,199.98
235.0,195.0,185.0,200.0
315.0,275.0,285.0,200.0
135.0,105.0,70.0,200.0
115.0,95.0,70.0,200.0
125.0,85.0,65.0,200.0
95.0,85.0,80.0,200.01
95.0,85.0,70.0,200.0
125.0,85.0,75.0,199.93
110.0,85.0,80.0,199.63
115.0,85.0,77.5,199.9
110.0,85.0,75.0,200.26
125.0,75.0,77.5,200.0
125.0,105.0,77.5,200.03
155.0,115.0,100.0,199.99
155.0,115.0,105.0,199.99
155.0,155.0,155.0,200.51
115.0,135.0,120.0,200.33
95.0,95.0,120.0,200.0
140.0,95.0,80.0,202.79
245.0,170.0,175.0,202.4
310.0,275.0,255.0,202.4
195.0,105.0,85.0,200.0
155.0,100.0,95.0,200.0
170.0,95.0,97.5,201.25
240.0,110.0,110.0,200.09
220.0,110.0,130.0,200.51
210.0,110.0,125.0,201.05
160.0,115.0,115.0,201.98
160.0,115.0,125.0,203.0
190.0,125.0,135.0,202.21
190.0,145.0,165.0,200.03
135.0,115.0,105.0,201.95
155.0,155.0,135.0,202.5
105.0,95.0,105.0,202.62
190.0,105.0,110.0,200.31
275.0,85.0,95.0,202.38
290.0,235.0,235.0,201.41
390.0,200.0,250.0,202.05
395.0,235.0,270.0,202.05
345.0,270.0,280.0,201.34
310.0,275.0,270.0,202.19
350.0,310.0,315.0,202.2
290.0,305.0,265.0,202.42
240.0,255.0,230.0,200.78
240.0,310.0,335.0,200.97
210.0,290.0,245.0,201.21
210.0,285.0,240.0,201.76
230.0,285.0,245.0,202.05
135.0,215.0,200.0,202.05
155.0,145.0,155.0,201.93
135.0,145.0,120.0,200.45
125.0,125.0,125.0,201.65
175.0,125.0,135.0,200.01
215.0,95.0,105.0,201.59
250.0,105.0,120.0,201.06
365.0,240.0,210.0,201.15
370.0,360.0,325.0,201.33
360.0,375.0,375.0,201.87
340.0,390.0,425.0,201.87
340.0,390.0,320.0,200.67
305.0,310.0,275.0,201.54
370.0,390.0,325.0,203.0
345.0,310.0,290.0,201.51
355.0,310.0,325.0,201.32
360.0,310.0,365.0,200.72
360.0,345.0,330.0,200.92
410.0,390.0,415.0,200.92
390.0,390.0,325.0,201.5
390.0,390.0,365.0,201.0
340.0,400.0,400.0,203.0
335.0,415.0,320.0,200.43
190.0,360.0,330.0,200.43
95.0,125.0,140.0,200.0
515.0,290.0,280.0,201.05
290.0,240.0,220.0,201.33
290.0,255.0,200.0,201.52
290.0,250.0,255.0,201.71
365.0,290.0,285.0,200.94
225.0,360.0,325.0,200.98
315.0,290.0,310.0,201.78
335.0,390.0,330.0,201.94
315.0,390.0,330.0,201.94
350.0,365.0,320.0,201.05
355.0,365.0,310.0,202.75
415.0,335.0,255.0,202.0
415.0,335.0,350.0,202.03
340.0,335.0,295.0,201.59
335.0,320.0,305.0,202.0
265.0,335.0,335.0,201.19
190.0,335.0,335.0,201.19
170.0,360.0,350.0,201.42
210.0,270.0,240.0,201.58
465.0,290.0,285.0,201.9
335.0,210.0,170.0,202.41
290.0,250.0,275.0,202.07
285.0,310.0,250.0,202.0
220.0,340.0,300.0,201.67
170.0,415.0,350.0,201.01
170.0,390.0,375.0,201.0
170.0,410.0,410.0,202.01
210.0,385.0,365.0,202.11
210.0,360.0,320.0,201.93
335.0,415.0,320.0,201.48
170.0,360.0,345.0,201.9
210.0,290.0,295.0,202.0
490.0,295.0,250.0,201.9
360.0,225.0,265.0,202.09
285.0,315.0,315.0,229.34
275.0,290.0,285.0,251.97
190.0,190.0,215.0,251.97
160.0,210.0,230.0,263.33
160.0,210.0,230.0,267.86
170.0,210.0,190.0,267.88
170.0,170.0,170.0,275.0
160.0,170.0,165.0,280.0
160.0,170.0,180.0,280.42
160.0,155.0,160.0,280.0
140.0,150.0,155.0,290.0
130.0,140.0,135.0,294.98
140.0,130.0,120.0,294.98
110.0,130.0,110.0,306.08
110.0,125.0,110.0,299.0
240.0,310.0,305.0,306.9
140.0,145.0,165.0,310.86
340.0,115.0,150.0,307.79
310.0,245.0,265.0,299.81
370.0,295.0,305.0,299.0
265.0,290.0,295.0,307.45
275.0,290.0,290.0,311.68
185.0,125.0,110.0,313.67
185.0,125.0,110.0,310.0
170.0,125.0,175.0,335.0
215.0,105.0,115.0,334.8
265.0,105.0,95.0,334.8
240.0,105.0,90.0,340.46
290.0,105.0,135.0,337.9
365.0,110.0,110.0,341.85
190.0,365.0,380.0,341.11
140.0,170.0,175.0,340.0
340.0,175.0,150.0,349.9
310.0,250.0,200.0,360.63
360.0,250.0,200.0,362.7
375.0,255.0,265.0,364.76
240.0,290.0,295.0,364.76
135.0,265.0,275.0,360.0
390.0,225.0,275.0,360.0
340.0,235.0,225.0,359.75
360.0,230.0,225.0,359.65
365.0,240.0,275.0,359.55
440.0,240.0,205.0,359.48
435.0,245.0,225.0,359.44
440.0,255.0,215.0,359.38
440.0,255.0,220.0,359.38
525.0,260.0,255.0,359.71
465.0,270.0,250.0,359.25
515.0,275.0,295.0,360.76
510.0,285.0,235.0,360.76
215.0,310.0,305.0,360.11
540.0,270.0,255.0,360.28
335.0,260.0,225.0,360.28
360.0,250.0,275.0,360.03
265.0,290.0,275.0,359.8
150.0,280.0,275.0,359.82
565.0,270.0,290.0,359.83
590.0,275.0,286.67,359.85
565.0,290.0,285.0,359.85
525.0,285.0,245.0,359.75
540.0,240.0,225.0,360.75
535.0,260.0,220.0,361.75
540.0,230.0,245.0,360.9
515.0,240.0,235.0,360.9
475.0,240.0,250.0,360.3
425.0,245.0,225.0,360.3
375.0,230.0,205.0,359.9
290.0,240.0,200.0,359.72
310.0,255.0,205.0,359.88
220.0,370.0,300.0,359.55
190.0,290.0,235.0,359.71
110.0,125.0,120.0,359.79
