Date,Item,Peliyagoda,Kandy,Dambulla,Meegoda,Norochchole,Thambuththegama,Keppetipola,Nuwaraeliya,Bandarawela,Veyangoda
2020-03-02,Leeks,180.00--200.00,250.00--260.00,200.00-230.00,250.00-260.00,,240.00-250.00,,200.00--210.00,,
2020-03-02,Leeks,180.00--200.00,250.00--260.00,200.00-230.00,250.00-260.00,,240.00-250.00,,200.00--210.00,,
2020-03-03,Leeks,80.00--100.00,110.00--120.00,90.00-120.00,110.00-120.00,,100.00-110.00,85.00-90.00,85.00-95.00,,
2020-03-07,Leeks,70.00--90.00,80.00--90.00,65.00--80.00,90.00--100.00,,85.00--100.00,,75.00-80.00,,
2020-03-09,Leeks,40.00--50.00,50.00--60.00,50.00--60.00,60.00--70.00,,50.00--60.00,,50.00-60.00,,
2020-03-11,Leeks,,50.00--55.00,70.00--90.00,,,50.00--60.00,35.00-40.00,40.00-45.00,,
2020-03-12,Leeks,,35.00--45.00,25.00--35.00,60.00--70.00,,50.00--65.00,40.00-50.00,45.00-50.00,,
2020-03-13,Leeks,100.00--120.00,120.00--130.00,120.00--140.00,130.00--140.00,,130.00--140.00,105.00-110.00,95.00--105.00,,
2020-04-03,Leeks,100.00--120.00,120.00--130.00,100.00--115.00,110.00--120.00,,100.00--110.00,95.00-100.00,100.00-110.00,,
2020-04-08,Leeks,80.00--100.00,50.00--60.00,50.00--65.00,,,55.00--65.00,50.00-55.00,40.00-50.00,,
2020-04-09,Leeks,40.00--50.00,50.00--60.00,45.00--60.00,60.00--70.00,,50.00--60.00,,40.00-50.00,,
2020-04-11,Leeks,,40.00--50.00,50.00--60.00,,,40.00--50.00,35.00-40.00,30.00-40.00,,
2020-04-12,Leeks,,40.00--50.00,75.00--90.00,65.00--70.00,,50.00--60.00,44.00-48.00,45.00-55.00,,
2020-05-02,Leeks,220.00--250.00,240.00--250.00,220.00-260.00,,,220.00-230.00,,200.00--210.00,,
2020-05-02,Leeks,220.00--250.00,240.00--250.00,220.00-260.00,,,220.00-230.00,,200.00--210.00,,
2020-05-03,Leeks,110.00--130.00,120.00--130.00,120.00-150.00,,,130.00-140.00,140.00-150.00,140.00--155.00,,
2020-05-10,Leeks,50.00--60.00,45.00--50.00,50.00--60.00,65.00--70.00,,50.00--60.00,,50.00-55.00,,
