Date,Kandy_Beans,Dambulla_Beans,Exchange Rate_Beans,Kandy_Carrot,Dambulla_Carrot,Exchange Rate_Carrot,Kandy_Leaks,Dambulla_Leaks,Buy Rate_Leaks
2023-03-14,190.0,200.0,322.96,90.0,95.0,322.96,145.0,160.0,319.85
2023-03-15,185.0,210.0,327.06,95.0,80.0,327.06,160.0,165.0,327.6
2023-03-16,180.0,225.0,337.29,95.0,90.0,337.29,165.0,160.0,329.03
2023-03-17,160.0,165.0,336.8,92.5,95.0,336.8,155.0,170.0,332.2
2023-03-18,160.0,165.0,336.29,93.33,93.33,336.29,155.0,168.33,332.04
2023-03-19,160.0,165.0,335.79,94.17,91.67,335.79,155.0,166.67,331.88
2023-03-20,160.0,165.0,335.28,95.0,90.0,335.28,155.0,165.0,331.72
2023-03-21,130.0,140.0,335.08,95.0,80.0,335.08,145.0,155.0,316.85
2023-03-22,130.0,125.0,321.89,90.0,85.0,321.89,145.0,165.0,312.62
2023-03-23,125.0,125.0,317.31,90.0,85.0,317.31,155.0,150.0,311.26
2023-03-24,110.0,115.0,318.63,85.0,75.0,318.63,135.0,155.0,314.75
2023-03-25,116.67,123.33,319.29,88.33,86.67,319.29,158.33,168.33,314.77
2023-03-26,123.33,131.67,319.94,91.67,98.33,319.94,181.67,181.67,314.8
2023-03-27,130.0,140.0,320.6,95.0,110.0,320.6,205.0,195.0,314.82
2023-03-28,140.0,140.0,319.98,105.0,100.0,319.98,235.0,210.0,315.85
2023-03-29,130.0,130.0,322.67,105.0,100.0,322.67,210.0,210.0,315.71
2023-03-30,125.0,140.0,325.63,125.0,100.0,325.63,225.0,200.0,317.73
2023-03-31,125.0,85.0,327.29,120.0,95.0,327.29,200.0,185.0,318.28
2023-04-01,123.33,86.67,327.36,185.0,190.0,327.36,201.67,189.44,317.77
2023-04-02,121.67,88.33,327.43,158.33,158.33,327.43,203.33,193.89,317.26
2023-04-03,120.0,90.0,327.5,131.67,126.67,327.5,205.0,198.33,316.75
2023-04-04,130.0,110.0,323.78,105.0,95.0,323.78,175.0,160.0,313.37
2023-04-05,120.0,95.0,322.48,140.0,130.0,322.48,178.75,170.0,313.33
2023-04-06,110.0,80.0,321.17,282.5,252.5,321.17,182.5,180.0,313.3
2023-04-07,205.0,197.5,320.87,425.0,375.0,320.87,154.38,152.5,312.88
2023-04-08,300.0,315.0,320.57,415.0,410.0,320.57,126.25,125.0,312.47
2023-04-09,240.0,205.0,320.27,205.0,205.0,320.27,98.12,97.5,312.05
2023-04-10,265.0,325.0,319.97,185.0,135.0,319.97,70.0,70.0,311.64
2023-04-11,190.0,200.0,319.83,237.5,205.0,319.83,140.0,147.5,311.44
2023-04-12,475.0,475.0,319.85,290.0,275.0,319.85,210.0,225.0,311.56
2023-04-13,402.0,401.0,319.79,257.0,248.0,319.79,211.0,228.0,311.66
2023-04-14,329.0,327.0,319.74,224.0,221.0,319.74,212.0,231.0,311.77
2023-04-15,256.0,253.0,319.68,191.0,194.0,319.68,213.0,234.0,311.87
2023-04-16,183.0,179.0,319.63,158.0,167.0,319.63,214.0,237.0,311.97
2023-04-17,110.0,105.0,319.57,125.0,140.0,319.57,215.0,240.0,312.07
2023-04-18,90.0,85.0,319.93,135.0,125.0,319.93,225.0,170.0,312.41
2023-04-19,110.0,85.0,320.83,145.0,140.0,320.83,225.0,210.0,312.92
2023-04-20,130.0,265.0,320.72,140.0,130.0,320.72,210.0,175.0,313.13
2023-04-21,130.0,130.0,321.14,140.0,125.0,321.14,160.0,160.0,313.06
2023-04-22,136.67,130.0,321.31,138.33,126.67,321.31,175.0,170.0,313.15
2023-04-23,143.33,130.0,321.48,136.67,128.33,321.48,190.0,180.0,313.24
2023-04-24,150.0,130.0,321.65,135.0,130.0,321.65,205.0,190.0,313.33
2023-04-25,130.0,150.0,321.8,135.0,130.0,321.8,185.0,165.0,313.27
2023-04-26,145.0,165.0,321.76,135.0,135.0,321.76,175.0,185.0,313.45
2023-04-27,145.0,150.0,321.63,125.0,120.0,321.63,200.0,185.0,313.83
2023-04-28,160.0,175.0,321.65,115.0,115.0,321.65,195.0,170.0,313.92
2023-04-29,177.5,190.0,321.6,140.0,135.0,321.6,214.75,194.5,313.88
2023-04-30,195.0,205.0,321.54,165.0,155.0,321.54,234.5,219.0,313.83
2023-05-01,212.5,220.0,321.49,190.0,175.0,321.49,254.25,243.5,313.78
2023-05-02,230.0,235.0,321.44,220.0,194.0,321.44,274.0,268.0,313.74
2023-05-03,260.0,240.0,320.9,250.0,213.0,320.9,278.0,261.0,313.05
2023-05-04,260.0,260.0,319.97,280.0,232.0,319.97,282.0,254.0,312.5
2023-05-05,267.5,272.5,319.84,310.0,251.0,319.84,242.75,223.62,312.43
2023-05-06,275.0,285.0,319.7,340.0,270.0,319.7,203.5,193.25,312.35
2023-05-07,282.5,297.5,319.57,430.0,425.0,319.57,164.25,162.88,312.27
